"","species","value","mean","se","n"
"1","Lithothamnion_MTA","Volume",5.6343767002,0.894715478570745,15
"2","Lithothamnion_TMR","Volume",2.5117935026,0.318975216696891,20
"3","Sporolithon_KWB","Volume",10.5617366367917,1.2475710574078,24
"4","Sporolithon_MTA","Volume",1.75608630427778,0.307681015213203,18
"5","Lithothamnion","Volume",3.85004344442857,0.493952863071959,35
"6","Sporolithon","Volume",6.78788649428571,0.989394551418384,42
"7","Lithothamnion_MTA","Free_space",5.082461455,0.937488094622171,15
"8","Lithothamnion_TMR","Free_space",2.3033219711,0.347586327050209,20
"9","Sporolithon_KWB","Free_space",52.7102400616667,6.39648404805295,24
"10","Sporolithon_MTA","Free_space",5.9635693315,0.645390772975559,18
"11","Lithothamnion","Free_space",3.49438174991429,0.499308956722097,35
"12","Sporolithon","Free_space",32.675952605881,5.12273361124548,42
"13","Lithothamnion_MTA","Number_of_tips",21.3666666666667,0.937253671342206,6
"14","Lithothamnion_TMR","Number_of_tips",24.5,0.670820393249937,6
"15","Sporolithon_KWB","Number_of_tips",7.63333333333333,0.499110319579861,6
"16","Sporolithon_MTA","Number_of_tips",6.02,0.776001145474527,10
"17","Lithothamnion","Number_of_tips",22.9333333333333,0.724603688267252,12
"18","Sporolithon","Number_of_tips",6.625,0.54555018100996,16
